"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"18.12.2023","33,10","32,85","33,10","32,80","16,43M","0,61%"
"17.12.2023","32,90","32,90","33,05","32,75","11,33M","0,00%"
"14.12.2023","32,90","32,80","33,00","32,70","20,31M","0,30%"
"13.12.2023","32,80","32,95","32,95","32,70","12,67M","-0,46%"
"12.12.2023","32,95","33,00","33,05","32,80","10,07M","-0,30%"
"11.12.2023","33,05","33,00","33,10","32,80","13,79M","0,30%"
"10.12.2023","32,95","33,00","33,20","32,90","9,73M","-0,30%"
"07.12.2023","33,05","32,95","33,15","32,85","10,54M","0,15%"
"06.12.2023","33,00","33,05","33,20","32,95","10,20M","-0,15%"
"05.12.2023","33,05","33,20","33,25","32,95","13,33M","-0,45%"
"04.12.2023","33,20","33,25","33,30","33,15","10,70M","-0,45%"
"03.12.2023","33,35","33,25","33,35","33,15","9,16M","0,45%"
"30.11.2023","33,20","33,25","33,40","33,15","19,72M","-0,30%"
"29.11.2023","33,30","33,30","33,35","33,15","7,98M","0,15%"
"28.11.2023","33,25","33,25","33,35","33,10","12,47M","0,00%"
"27.11.2023","33,25","33,35","33,40","33,20","12,50M","-0,45%"
"26.11.2023","33,40","33,35","33,45","33,25","8,78M","0,00%"
"23.11.2023","33,40","33,35","33,50","33,25","10,48M","-0,15%"
"22.11.2023","33,45","33,40","33,50","33,25","9,99M","0,00%"
"21.11.2023","33,45","33,45","33,55","33,25","17,93M","0,00%"
"20.11.2023","33,45","33,70","33,70","33,45","14,50M","-0,89%"
"19.11.2023","33,75","33,60","33,80","33,50","9,20M","0,30%"
"16.11.2023","33,65","33,40","33,80","33,35","16,04M","0,45%"
"15.11.2023","33,50","33,40","33,55","33,25","15,13M","-1,03%"
"14.11.2023","33,85","33,70","33,90","33,60","12,19M","0,45%"
"13.11.2023","33,70","33,55","33,70","33,45","11,79M","0,45%"
"12.11.2023","33,55","33,50","33,85","33,45","14,94M","0,15%"
"09.11.2023","33,50","33,45","33,65","33,35","10,62M","-0,15%"
"08.11.2023","33,55","33,50","33,60","33,35","12,09M","-0,15%"
"07.11.2023","33,60","33,55","33,75","33,40","16,02M","0,45%"
"06.11.2023","33,45","33,25","33,45","33,15","12,77M","0,45%"
"05.11.2023","33,30","33,10","33,45","33,10","11,19M","0,45%"
"02.11.2023","33,15","33,10","33,45","33,05","13,97M","0,00%"
"01.11.2023","33,15","33,25","33,40","32,95","13,99M","-0,45%"
"31.10.2023","33,30","32,95","33,45","32,85","18,42M","1,06%"
"30.10.2023","32,95","32,95","33,20","32,85","10,94M","0,00%"
"29.10.2023","32,95","33,10","33,10","32,85","10,22M","-0,75%"
"26.10.2023","33,20","33,00","33,30","32,75","15,72M","0,45%"
"25.10.2023","33,05","33,20","33,25","32,80","14,16M","-0,45%"
"24.10.2023","33,20","33,25","33,40","33,05","8,03M","-0,15%"
"23.10.2023","33,25","33,30","33,45","33,15","10,77M","-0,30%"
"22.10.2023","33,35","33,40","33,55","33,25","9,07M","-0,45%"
