"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"29.12.2023","149,16","150,03","150,23","148,67","7,66M","-0,41%"
"28.12.2023","149,77","151,18","152,02","149,40","8,15M","-1,41%"
"27.12.2023","151,91","152,27","152,97","151,34","5,34M","-0,33%"
"26.12.2023","152,41","152,07","153,01","151,90","5,17M","0,90%"
"22.12.2023","151,05","151,74","152,39","150,75","6,40M","0,23%"
"21.12.2023","150,71","150,78","150,80","149,22","7,26M","0,31%"
"20.12.2023","150,25","152,15","153,06","150,06","9,37M","-0,92%"
"19.12.2023","151,64","149,96","151,83","149,49","8,74M","1,31%"
"18.12.2023","149,68","150,83","152,12","149,32","11,56M","0,22%"
"15.12.2023","149,35","147,32","149,82","147,32","30,85M","-0,39%"
"14.12.2023","149,93","145,85","149,93","145,85","14,96M","3,68%"
"13.12.2023","144,61","142,17","144,68","141,65","10,64M","1,48%"
"12.12.2023","142,50","143,17","143,59","141,75","9,86M","-1,28%"
"11.12.2023","144,35","144,84","145,40","143,82","9,85M","0,03%"
"08.12.2023","144,31","143,51","144,67","143,12","10,82M","1,33%"
"07.12.2023","142,42","143,51","144,01","140,99","14,79M","-0,08%"
"06.12.2023","142,53","141,90","144,03","141,35","18,08M","-0,23%"
"05.12.2023","142,86","144,76","145,07","142,63","9,60M","-1,39%"
"04.12.2023","144,87","144,00","145,70","143,25","11,84M","0,04%"
"01.12.2023","144,81","143,49","146,51","142,60","11,91M","0,84%"
"30.11.2023","143,60","144,98","146,01","142,03","16,28M","-0,22%"
"29.11.2023","143,91","146,39","146,49","143,06","16,42M","-1,10%"
"28.11.2023","145,51","144,78","146,52","144,06","9,75M","0,80%"
"27.11.2023","144,36","144,65","144,82","142,85","9,85M","-0,37%"
"24.11.2023","144,90","144,30","145,94","144,20","3,86M","0,39%"
"22.11.2023","144,33","141,74","144,39","140,72","7,22M","0,20%"
"21.11.2023","144,04","143,83","144,30","142,70","6,78M","-0,24%"
"20.11.2023","144,38","144,63","145,69","144,27","8,06M","-0,06%"
"17.11.2023","144,46","142,95","145,18","142,40","11,08M","1,90%"
"16.11.2023","141,77","143,02","143,51","140,74","14,03M","-2,60%"
"15.11.2023","145,56","144,86","146,64","144,41","10,05M","0,35%"
"14.11.2023","145,05","144,48","145,50","143,86","11,22M","0,73%"
"13.11.2023","144,00","143,15","144,30","142,85","8,75M","0,73%"
"10.11.2023","142,95","143,29","143,44","141,73","11,99M","0,71%"
"09.11.2023","141,94","143,05","143,91","141,78","10,36M","-0,32%"
"08.11.2023","142,40","143,88","144,65","142,25","12,65M","-1,39%"
"07.11.2023","144,41","145,16","145,61","143,24","15,05M","-1,76%"
"06.11.2023","147,00","148,73","149,33","146,69","10,63M","-0,41%"
"03.11.2023","147,61","148,30","148,56","146,15","13,16M","-0,77%"
"02.11.2023","148,76","144,54","149,00","143,83","11,10M","3,32%"
"01.11.2023","143,98","145,98","146,01","143,82","10,82M","-1,20%"
"31.10.2023","145,73","146,10","146,52","144,23","14,26M","-0,25%"
"30.10.2023","146,09","145,66","146,44","144,32","13,86M","1,21%"
"27.10.2023","144,35","150,72","151,25","143,96","24,52M","-6,72%"
"26.10.2023","154,75","155,01","155,18","153,63","10,83M","-0,72%"
"25.10.2023","155,87","156,94","157,41","155,17","10,50M","-0,50%"
"24.10.2023","156,65","160,89","161,08","156,47","17,69M","-2,51%"
"23.10.2023","160,68","163,30","164,43","160,25","16,23M","-3,69%"
"20.10.2023","166,83","168,41","169,10","166,10","7,46M","-1,34%"
"19.10.2023","169,10","168,70","170,17","167,51","6,58M","0,11%"
"18.10.2023","168,92","168,47","169,70","167,58","6,89M","0,79%"
"17.10.2023","167,59","164,83","168,20","164,65","7,54M","1,32%"
"16.10.2023","165,40","165,34","165,81","163,85","5,45M","0,82%"
"13.10.2023","164,06","163,41","164,84","162,30","8,04M","1,76%"
"12.10.2023","161,23","163,26","163,26","160,90","7,40M","0,08%"
"11.10.2023","161,10","165,07","165,08","160,48","12,57M","-3,27%"
"10.10.2023","166,54","166,76","167,40","165,68","6,51M","-0,11%"
"09.10.2023","166,72","166,38","168,19","164,95","8,18M","2,77%"
"06.10.2023","162,23","164,31","164,37","158,99","10,19M","-1,02%"
"05.10.2023","163,90","161,42","164,75","161,39","8,07M","0,53%"
"04.10.2023","163,04","164,70","164,98","161,49","9,66M","-2,33%"
"03.10.2023","166,93","165,92","167,36","165,51","6,17M","0,23%"
"02.10.2023","166,54","168,34","168,57","165,23","6,84M","-1,23%"
"29.09.2023","168,62","170,49","170,50","167,82","7,40M","-1,15%"
"28.09.2023","170,59","170,55","171,70","169,43","7,15M","-0,26%"
"27.09.2023","171,04","169,37","171,23","168,81","9,12M","1,93%"
"26.09.2023","167,80","167,44","168,41","166,98","5,66M","-0,54%"
"25.09.2023","168,71","166,33","168,78","165,99","5,51M","1,46%"
"22.09.2023","166,28","166,23","167,42","165,94","5,97M","0,66%"
"21.09.2023","165,19","167,12","167,87","165,05","7,15M","-0,90%"
"20.09.2023","166,69","167,07","168,51","166,60","5,94M","-0,31%"
"19.09.2023","167,20","168,69","168,96","166,43","6,62M","-0,01%"
"18.09.2023","167,22","167,87","168,36","166,40","7,03M","0,43%"
"15.09.2023","166,50","166,21","168,37","165,88","17,44M","-0,44%"
"14.09.2023","167,23","167,70","168,50","167,12","8,82M","0,62%"
"13.09.2023","166,20","167,40","167,75","165,58","5,76M","-0,37%"
"12.09.2023","166,81","165,30","167,19","165,10","7,52M","1,86%"
"11.09.2023","163,76","168,08","168,59","162,87","7,16M","-2,06%"
"08.09.2023","167,21","167,42","168,49","166,71","7,44M","0,34%"
"07.09.2023","166,64","167,14","167,90","166,28","7,93M","0,01%"
"06.09.2023","166,63","166,28","167,44","165,58","7,20M","0,10%"
"05.09.2023","166,46","165,28","167,56","165,20","9,76M","1,31%"
"01.09.2023","164,30","162,64","164,69","162,64","6,66M","1,99%"
"31.08.2023","161,10","161,01","161,24","159,93","7,00M","0,57%"
"30.08.2023","160,18","160,59","161,25","159,93","5,53M","0,14%"
"29.08.2023","159,96","160,91","160,95","159,10","5,37M","-0,16%"
"28.08.2023","160,21","159,53","161,80","159,21","4,39M","0,69%"
"25.08.2023","159,12","159,07","159,91","157,65","5,29M","0,75%"
"24.08.2023","157,94","157,73","159,89","157,56","5,99M","-0,82%"
"23.08.2023","159,25","158,14","159,40","156,70","4,98M","0,13%"
"22.08.2023","159,04","160,49","161,25","158,97","6,08M","-0,82%"
"21.08.2023","160,36","161,20","162,07","159,45","6,80M","-0,34%"
"18.08.2023","160,90","158,38","161,32","158,16","6,00M","0,72%"
"17.08.2023","159,75","159,18","162,14","158,97","8,27M","0,71%"
"16.08.2023","158,63","160,52","161,83","158,47","7,92M","-0,38%"
"15.08.2023","159,24","163,40","163,41","159,10","7,88M","-2,92%"
"14.08.2023","164,03","163,77","164,25","162,61","6,06M","-0,07%"
"11.08.2023","164,15","160,50","164,17","160,18","6,68M","2,06%"
"10.08.2023","160,83","160,33","162,48","159,62","8,65M","0,61%"
"09.08.2023","159,86","160,86","161,44","159,31","10,53M","0,13%"
"08.08.2023","159,65","157,94","159,79","156,22","6,45M","-0,15%"
"07.08.2023","159,89","161,01","161,38","159,08","13,93M","0,36%"
"04.08.2023","159,31","160,66","163,02","159,04","10,19M","-0,23%"
"03.08.2023","159,67","159,91","161,70","158,85","6,68M","-0,04%"
"02.08.2023","159,73","161,17","161,22","158,06","7,07M","-1,58%"
"01.08.2023","162,30","163,64","163,64","160,55","7,53M","-0,83%"
"31.07.2023","163,66","161,13","163,98","160,62","13,06M","3,02%"
"28.07.2023","158,87","158,41","159,00","156,51","6,55M","-0,49%"
"27.07.2023","159,66","162,09","162,47","159,22","6,47M","-1,04%"
"26.07.2023","161,34","160,88","162,09","160,55","6,06M","-0,75%"
"25.07.2023","162,56","161,91","163,51","160,66","6,77M","0,46%"
"24.07.2023","161,82","160,47","164,04","160,01","9,72M","1,97%"
"21.07.2023","158,69","157,53","158,83","157,06","8,76M","1,46%"
"20.07.2023","156,40","156,16","157,19","155,71","5,87M","1,11%"
"19.07.2023","154,69","153,83","155,78","153,28","5,65M","0,61%"
"18.07.2023","153,75","152,67","156,07","152,37","6,80M","0,20%"
"17.07.2023","153,44","153,35","154,14","152,64","4,35M","-0,09%"
"14.07.2023","153,58","157,01","157,02","153,30","7,07M","-2,50%"
"13.07.2023","157,51","159,84","160,60","156,57","8,14M","-1,33%"
"12.07.2023","159,64","159,22","160,34","158,33","6,46M","0,96%"
"11.07.2023","158,12","156,00","158,40","155,66","5,06M","1,85%"
"10.07.2023","155,25","153,93","155,79","153,92","5,17M","0,67%"
"07.07.2023","154,22","152,14","155,99","151,96","6,60M","0,88%"
"06.07.2023","152,88","155,20","155,83","151,63","9,21M","-2,19%"
"05.07.2023","156,31","157,70","157,70","155,12","6,32M","-0,57%"
"03.07.2023","157,21","157,18","158,10","156,70","3,27M","-0,09%"
"30.06.2023","157,35","157,46","157,92","156,60","6,35M","0,71%"
"29.06.2023","156,24","155,43","156,27","154,44","5,63M","0,85%"
"28.06.2023","154,92","153,44","155,02","152,19","5,77M","0,91%"
"27.06.2023","153,53","153,50","154,71","152,82","6,58M","-0,31%"
"26.06.2023","154,01","151,62","154,97","151,54","7,37M","1,76%"
"23.06.2023","151,35","151,01","151,70","150,13","15,17M","-0,85%"
"22.06.2023","152,64","153,35","153,59","151,97","7,09M","-1,45%"
"21.06.2023","154,88","152,67","155,96","152,50","7,33M","0,78%"
"20.06.2023","153,68","156,15","156,57","152,24","10,44M","-2,28%"
"16.06.2023","157,26","158,57","159,24","157,26","22,88M","-0,64%"
"15.06.2023","158,28","157,32","159,79","157,32","7,71M","0,76%"
"14.06.2023","157,09","159,98","160,77","156,15","7,72M","-0,90%"
"13.06.2023","158,51","158,52","160,58","158,27","7,66M","0,75%"
"12.06.2023","157,33","157,06","159,33","156,23","7,16M","-0,96%"
"09.06.2023","158,86","159,28","160,39","158,62","6,67M","-0,24%"
"08.06.2023","159,24","160,16","160,49","157,09","7,14M","-0,37%"
"07.06.2023","159,83","156,55","160,21","156,50","9,90M","2,59%"
"06.06.2023","155,79","153,33","156,16","153,20","6,18M","0,18%"
"05.06.2023","155,51","158,45","158,45","155,24","7,21M","-0,48%"
"02.06.2023","156,26","154,58","156,75","153,61","9,46M","2,69%"
"01.06.2023","152,16","151,30","153,74","149,74","9,89M","1,02%"
"31.05.2023","150,62","151,54","152,42","150,36","13,35M","-1,63%"
"30.05.2023","153,12","151,67","153,26","151,21","7,81M","-0,62%"
"26.05.2023","154,08","155,29","155,63","153,46","7,74M","-0,31%"
"25.05.2023","154,56","154,68","155,63","153,50","7,04M","-1,72%"
"24.05.2023","157,27","157,95","158,57","156,29","7,06M","0,27%"
"23.05.2023","156,85","154,14","157,68","153,84","10,44M","2,89%"
"22.05.2023","152,44","153,79","154,83","152,09","11,66M","-1,80%"
"19.05.2023","155,23","154,89","156,44","153,99","8,10M","0,79%"
"18.05.2023","154,01","152,87","154,24","151,53","7,48M","-1,09%"
"17.05.2023","155,71","154,79","156,42","153,96","6,17M","1,43%"
"16.05.2023","153,51","156,48","157,02","153,33","7,01M","-2,35%"
"15.05.2023","157,20","157,23","158,16","156,23","5,10M","0,37%"
"12.05.2023","156,62","157,00","157,93","155,56","4,90M","0,26%"
"11.05.2023","156,22","155,38","156,32","153,89","6,67M","-0,55%"
"10.05.2023","157,09","160,44","160,44","155,88","6,16M","-1,28%"
"09.05.2023","159,12","158,11","160,41","157,91","5,02M","-0,29%"
