"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"28.12.2023","59,94","60,63","60,84","59,94","18,50K","-0,65%"
"27.12.2023","60,33","60,75","61,03","60,26","48,45K","-0,67%"
"26.12.2023","60,74","60,97","61,40","60,74","15,90K","-0,39%"
"22.12.2023","60,97","60,95","61,64","60,95","3,26K","0,03%"
"21.12.2023","60,95","61,45","61,45","60,71","12,23K","-0,80%"
"20.12.2023","61,45","61,87","62,29","61,45","5,32K","-0,29%"
"19.12.2023","61,62","62,29","62,29","61,13","20,84K","-0,57%"
"18.12.2023","61,98","62,07","62,75","61,41","56,14K","1,53%"
"15.12.2023","61,04","61,93","62,32","61,02","15,85K","-0,50%"
"14.12.2023","61,35","60,03","61,70","60,03","74,26K","2,69%"
"13.12.2023","59,74","60,66","60,66","59,55","73,96K","-0,15%"
"12.12.2023","59,83","60,60","60,72","59,71","39,59K","-1,27%"
"11.12.2023","60,60","60,46","60,99","60,08","14,01K","0,24%"
"08.12.2023","60,45","60,76","60,76","59,96","18,29K","1,71%"
"07.12.2023","59,44","59,61","60,97","59,43","29,77K","-1,87%"
"06.12.2023","60,57","61,26","61,28","59,48","44,28K","-0,86%"
"05.12.2023","61,09","62,32","62,54","61,09","75,15K","-1,98%"
"04.12.2023","62,32","61,82","62,80","61,66","6,08K","0,80%"
"01.12.2023","61,83","62,24","62,97","61,60","70,29K","-0,67%"
"30.11.2023","62,24","61,83","63,36","61,83","40,06K","1,12%"
"29.11.2023","61,55","63,56","63,56","61,37","71,63K","-1,20%"
"28.11.2023","62,30","62,57","63,08","62,30","26,58K","-1,23%"
"27.11.2023","63,08","62,88","63,08","62,29","28,84K","-0,62%"
"24.11.2023","63,48","62,77","63,55","62,54","5,68K","1,13%"
"23.11.2023","62,77","62,14","62,94","62,14","3,88K","-0,78%"
"22.11.2023","63,26","62,12","63,26","61,70","42,16K","0,28%"
"21.11.2023","63,08","62,50","63,21","62,09","28,86K","0,79%"
"20.11.2023","62,59","63,59","63,85","62,59","56,62K","-1,27%"
"17.11.2023","63,40","61,25","63,57","61,25","83,62K","3,52%"
"16.11.2023","61,24","63,77","63,77","60,87","195,04K","-3,97%"
"14.11.2023","63,77","63,08","65,04","62,27","7,82K","0,94%"
"13.11.2023","63,18","63,08","63,75","62,45","26,88K","1,52%"
"10.11.2023","62,23","62,24","62,86","61,90","2,82K","-0,02%"
"09.11.2023","62,24","62,56","62,56","61,85","1,45K","0,47%"
"08.11.2023","61,95","61,98","62,55","61,82","14,89K","-0,06%"
"07.11.2023","61,99","63,07","63,07","61,52","20,47K","-2,10%"
"06.11.2023","63,32","65,26","65,40","63,32","10,65K","-1,81%"
"03.11.2023","64,49","65,74","65,74","63,98","19,41K","0,02%"
"01.11.2023","64,48","65,23","65,84","64,41","10,17K","-1,16%"
"31.10.2023","65,23","65,05","65,65","64,99","2,72K","0,27%"
"30.10.2023","65,05","64,72","65,50","64,33","7,62K","0,90%"
"27.10.2023","64,48","66,78","66,78","63,64","8,28K","-1,58%"
"26.10.2023","65,51","65,92","66,22","65,19","10,06K","-1,47%"
"25.10.2023","66,49","66,24","66,94","66,11","6,95K","0,41%"
"24.10.2023","66,22","67,57","67,70","66,22","8,12K","-1,17%"
"23.10.2023","67,00","68,06","68,28","66,74","30,55K","-1,86%"
"20.10.2023","68,28","70,79","70,79","68,28","7,79K","-2,24%"
"19.10.2023","69,84","69,82","70,12","69,18","10,17K","0,31%"
"18.10.2023","69,63","68,95","70,20","68,89","17,70K","1,66%"
"17.10.2023","68,49","67,76","68,75","67,53","99,29K","1,27%"
"16.10.2023","67,63","68,75","68,75","67,61","5,49K","-0,99%"
"13.10.2023","68,30","66,61","68,69","66,61","31,05K","3,59%"
"11.10.2023","65,93","66,37","66,49","64,95","123,70K","-3,95%"
"10.10.2023","68,65","69,57","69,57","68,48","27,49K","-1,02%"
"09.10.2023","69,35","69,25","71,01","69,25","86,57K","2,37%"
"06.10.2023","67,75","68,01","68,51","66,91","13,76K","-1,57%"
"05.10.2023","68,82","69,43","69,88","68,77","12,24K","-1,73%"
"04.10.2023","70,04","72,64","72,64","69,68","36,41K","-4,01%"
"03.10.2023","72,97","71,48","73,13","70,47","50,95K","2,08%"
"02.10.2023","71,48","72,29","73,01","71,13","38,05K","-1,02%"
"29.09.2023","72,21","73,66","73,66","71,67","11,30K","-1,84%"
"28.09.2023","73,56","74,86","74,86","73,10","6,31K","-0,54%"
"27.09.2023","73,97","71,98","74,28","71,98","45,22K","3,78%"
"26.09.2023","71,27","70,20","71,27","70,20","26,55K","1,13%"
"25.09.2023","70,48","70,12","70,91","69,78","15,26K","1,77%"
"22.09.2023","69,25","70,07","70,14","69,25","7,40K","-0,08%"
"21.09.2023","69,31","69,63","70,66","69,22","44,64K","-0,30%"
"20.09.2023","69,52","69,53","70,04","69,02","22,20K","-0,53%"
"19.09.2023","69,89","70,51","70,54","69,54","20,44K","0,11%"
"18.09.2023","69,81","69,68","70,19","69,37","9,57K","0,20%"
"15.09.2023","69,68","70,54","70,55","69,60","7,99K","-1,22%"
"14.09.2023","70,54","70,18","70,77","70,12","6,86K","0,76%"
"13.09.2023","70,01","71,21","71,34","69,63","5,42K","-1,69%"
"12.09.2023","71,21","69,50","71,38","69,50","22,05K","3,49%"
"11.09.2023","68,81","70,35","70,37","68,54","21,86K","-2,20%"
"08.09.2023","70,36","69,53","70,79","69,53","8,31K","1,01%"
"06.09.2023","69,66","69,52","69,79","68,98","9,30K","0,94%"
