"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"28.12.2023","38,98","39,03","39,17","38,83","11,75M","-0,41%"
"27.12.2023","39,14","39,22","39,33","38,94","5,07M","-0,15%"
"26.12.2023","39,20","38,65","39,24","38,65","4,74M","1,50%"
"22.12.2023","38,62","38,25","38,62","38,11","7,45M","1,34%"
"21.12.2023","38,11","38,13","38,32","37,80","5,74M","0,00%"
"20.12.2023","38,11","38,18","38,56","37,95","12,86M","0,18%"
"19.12.2023","38,04","37,96","38,09","37,52","10,20M","0,66%"
"18.12.2023","37,79","37,50","38,27","37,36","9,10M","2,05%"
"15.12.2023","37,03","37,37","37,98","36,89","11,93M","-0,78%"
"14.12.2023","37,32","36,90","37,49","36,63","14,07M","2,33%"
"13.12.2023","36,47","36,08","36,52","35,90","13,52M","1,33%"
"12.12.2023","35,99","36,49","36,70","35,70","5,06M","-1,53%"
"11.12.2023","36,55","36,60","36,83","36,40","5,07M","-0,30%"
"08.12.2023","36,66","35,70","36,81","35,47","9,79M","3,41%"
"07.12.2023","35,45","35,55","36,14","35,06","9,57M","0,31%"
"06.12.2023","35,34","36,05","36,23","35,30","11,25M","-2,38%"
"05.12.2023","36,20","36,60","36,68","36,14","13,12M","-0,74%"
"04.12.2023","36,47","37,05","37,20","36,39","10,97M","-1,96%"
"01.12.2023","37,20","37,60","37,72","37,20","7,14M","-1,33%"
"30.11.2023","37,70","37,56","38,21","37,17","15,99M","0,94%"
"29.11.2023","37,35","38,15","38,29","37,15","8,63M","-1,32%"
"28.11.2023","37,85","37,50","38,09","37,50","7,72M","0,93%"
"27.11.2023","37,50","37,52","37,86","37,01","9,48M","-0,66%"
"24.11.2023","37,75","37,70","38,51","37,34","11,93M","-0,29%"
"23.11.2023","37,86","37,69","37,86","37,39","2,80M","0,45%"
"22.11.2023","37,69","37,40","37,69","36,63","16,12M","0,09%"
"21.11.2023","37,66","37,64","37,87","37,21","13,42M","-0,99%"
"20.11.2023","38,03","38,16","38,51","37,38","16,36M","-0,33%"
"17.11.2023","38,16","36,83","38,48","36,83","15,49M","4,22%"
"16.11.2023","36,61","37,16","37,64","36,42","17,29M","-2,02%"
"14.11.2023","37,37","37,00","37,39","36,79","13,65M","1,15%"
"13.11.2023","36,94","36,14","36,95","36,13","9,39M","2,24%"
"10.11.2023","36,13","36,08","36,45","35,91","6,07M","-0,32%"
"09.11.2023","36,25","35,78","36,51","35,69","14,93M","2,12%"
"08.11.2023","35,49","36,15","36,19","35,22","11,87M","-2,36%"
"07.11.2023","36,35","36,68","37,06","36,04","15,19M","-2,21%"
"06.11.2023","37,17","37,57","37,82","37,11","10,60M","-0,26%"
"03.11.2023","37,27","37,65","37,65","36,74","9,64M","0,84%"
"01.11.2023","36,96","36,68","37,39","36,59","13,39M","1,16%"
"31.10.2023","36,54","36,85","36,92","36,14","6,45M","-0,86%"
"30.10.2023","36,85","37,34","37,53","36,53","8,45M","-0,81%"
"27.10.2023","37,15","37,95","38,26","36,82","13,34M","-0,72%"
"26.10.2023","37,42","37,57","37,63","36,77","9,47M","-0,74%"
"25.10.2023","37,70","37,76","37,93","37,39","9,37M","0,28%"
"24.10.2023","37,60","37,46","37,81","36,95","16,45M","1,54%"
"23.10.2023","37,03","38,26","38,32","36,91","20,84M","-6,03%"
"20.10.2023","39,40","40,19","40,42","39,03","11,10M","-1,09%"
"19.10.2023","39,84","40,06","40,07","39,55","17,75M","-0,72%"
"18.10.2023","40,13","39,49","40,36","39,48","28,68M","2,34%"
"17.10.2023","39,21","38,26","39,35","38,19","12,05M","2,27%"
"16.10.2023","38,34","38,09","38,53","37,52","11,14M","0,99%"
"13.10.2023","37,96","37,44","38,13","37,41","14,71M","3,15%"
"11.10.2023","36,81","36,83","36,90","36,07","10,09M","-0,34%"
"10.10.2023","36,93","36,59","36,93","36,28","9,18M","1,03%"
"09.10.2023","36,55","35,82","36,75","35,77","11,54M","4,10%"
"06.10.2023","35,12","33,90","35,39","33,90","11,73M","2,51%"
"05.10.2023","34,26","34,35","34,59","34,05","8,09M","-0,39%"
"04.10.2023","34,39","35,24","35,32","34,10","20,86M","-3,02%"
"03.10.2023","35,46","35,66","35,94","35,26","9,85M","-1,18%"
"02.10.2023","35,89","36,52","36,76","35,71","8,30M","-1,90%"
"29.09.2023","36,58","36,28","36,58","36,18","10,23M","1,01%"
"28.09.2023","36,22","36,34","36,48","36,02","8,59M","-0,50%"
"27.09.2023","36,40","35,54","36,40","35,54","15,53M","3,71%"
"26.09.2023","35,10","35,71","35,91","35,10","12,62M","-2,76%"
"25.09.2023","36,09","35,89","36,21","35,81","3,91M","0,65%"
"22.09.2023","35,86","35,84","36,18","35,69","7,39M","0,73%"
"21.09.2023","35,60","35,77","36,24","35,55","14,63M","-1,44%"
"20.09.2023","36,12","36,07","36,41","35,84","8,14M","0,13%"
"19.09.2023","36,07","36,14","36,57","35,98","13,13M","0,00%"
"18.09.2023","36,07","35,93","36,78","35,85","11,03M","1,25%"
"15.09.2023","35,63","36,11","36,26","35,63","20,13M","-1,47%"
"14.09.2023","36,16","35,18","36,24","35,18","11,04M","2,94%"
"13.09.2023","35,13","35,59","35,71","35,13","10,19M","-1,30%"
"12.09.2023","35,59","35,40","35,81","35,37","6,02M","1,10%"
"11.09.2023","35,20","35,44","35,72","35,15","13,41M","-3,58%"
"09.09.2023","36,51","36,51","36,51","36,51","","3,01%"
"08.09.2023","35,44","35,54","35,89","35,24","12,22M","-0,78%"
"06.09.2023","35,72","35,51","36,17","35,46","12,20M","0,49%"
"05.09.2023","35,55","33,85","35,72","33,79","24,90M","4,60%"
"04.09.2023","33,99","34,43","34,57","33,93","5,69M","-1,37%"
"01.09.2023","34,46","33,71","34,58","33,48","30,44M","3,33%"
"31.08.2023","33,35","34,42","34,52","32,96","19,05M","-2,70%"
"30.08.2023","34,28","34,45","34,51","34,22","5,85M","-0,08%"
"29.08.2023","34,31","34,28","34,37","33,99","7,74M","0,37%"
"28.08.2023","34,18","33,81","34,23","33,67","7,40M","1,03%"
"25.08.2023","33,83","34,20","34,45","33,52","13,83M","-0,79%"
"24.08.2023","34,10","34,10","34,60","33,86","8,22M","-0,25%"
"23.08.2023","34,19","32,90","34,20","32,90","26,09M","5,70%"
"22.08.2023","32,35","32,12","32,38","31,99","7,47M","1,51%"
"21.08.2023","31,86","32,28","32,70","31,58","9,97M","-0,99%"
"18.08.2023","32,18","32,03","32,29","31,79","7,76M","0,58%"
"17.08.2023","31,99","32,39","32,79","31,99","11,94M","-0,75%"
"16.08.2023","32,24","31,42","32,62","31,42","22,98M","2,95%"
"15.08.2023","31,31","32,79","32,95","31,28","15,86M","-0,21%"
"14.08.2023","31,38","31,16","31,48","31,05","7,86M","0,48%"
"11.08.2023","31,23","31,18","31,75","30,86","10,39M","0,06%"
"10.08.2023","31,21","30,98","31,40","30,78","13,73M","-0,03%"
"09.08.2023","31,22","30,89","31,38","30,75","13,21M","1,15%"
"08.08.2023","30,86","30,52","31,09","30,34","8,59M","-0,06%"
"07.08.2023","30,88","30,68","31,11","30,63","10,21M","0,67%"
"04.08.2023","30,68","31,38","31,75","30,09","39,76M","-4,20%"
"03.08.2023","32,02","32,01","32,22","31,78","8,45M","1,42%"
"02.08.2023","31,57","31,61","31,73","31,04","11,64M","-0,70%"
"01.08.2023","31,80","32,39","32,39","31,13","19,07M","-2,10%"
"31.07.2023","32,48","31,26","32,50","31,26","17,50M","5,26%"
"28.07.2023","30,86","30,51","30,96","30,32","7,97M","1,69%"
"27.07.2023","30,34","31,82","31,89","30,32","15,98M","-5,63%"
"26.07.2023","32,15","32,24","32,42","31,74","15,76M","-0,43%"
"25.07.2023","32,29","32,19","32,36","31,54","9,56M","1,79%"
"24.07.2023","31,72","31,16","31,76","31,16","13,92M","2,07%"
"21.07.2023","31,08","30,63","31,25","30,46","16,44M","1,83%"
"20.07.2023","30,52","30,29","30,65","30,08","12,37M","0,77%"
"19.07.2023","30,29","30,00","30,42","29,86","11,13M","0,56%"
